sic,description,as_of_date,value,is_sa,release_as_of_date
541,Grocery stores,1995-03-01,32039,0,1995-03-01
56,Apparel and accessory stores,1995-03-01,8415,0,1995-03-01
58,Eating and drinking places,1995-03-01,19826,0,1995-03-01
591,Drug and proprietary stores,1995-03-01,7083,0,1995-03-01
553,Auto and home supply stores,1994-03-01,2782,0,1995-03-01
571,Furniture and home furnishings,1994-03-01,4789,0,1995-03-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-03-01,3665,0,1995-03-01
53,General merchandise group stores,1994-03-01,21493,0,1995-03-01
541,Grocery stores,1994-03-01,31384,0,1995-03-01
56,Apparel and accessory stores,1994-03-01,8767,0,1995-03-01
58,Eating and drinking places,1994-03-01,18890,0,1995-03-01
591,Drug and proprietary stores,1994-03-01,6901,0,1995-03-01
592,Liquor stores,1994-03-01,1694,0,1995-03-01
5961,Total-mail order,1994-03-01,3782,0,1995-03-01
53,General merchandise group stores,1995-04-01,24371,1,1995-04-01
541,Grocery stores,1995-04-01,32196,1,1995-04-01
56,Apparel and accessory stores,1995-04-01,9192,1,1995-04-01
58,Eating and drinking places,1995-04-01,19698,1,1995-04-01
591,Drug and proprietary stores,1995-04-01,7083,1,1995-04-01
553,Auto and home supply stores,1994-04-01,2695,1,1995-04-01
571,Furniture and home furnishings,1994-04-01,4876,1,1995-04-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-04-01,3798,1,1995-04-01
53,General merchandise group stores,1994-04-01,23193,1,1995-04-01
541,Grocery stores,1994-04-01,30841,1,1995-04-01
56,Apparel and accessory stores,1994-04-01,8981,1,1995-04-01
58,Eating and drinking places,1994-04-01,18877,1,1995-04-01
591,Drug and proprietary stores,1994-04-01,6676,1,1995-04-01
592,Liquor stores,1994-04-01,1811,1,1995-04-01
5961,Total mail order,1994-04-01,3873,1,1995-04-01
53,General merchandise group stores,1995-04-01,22602,0,1995-04-01
541,Grocery stores,1995-04-01,31713,0,1995-04-01
56,Apparel and accessory stores,1995-04-01,9109,0,1995-04-01
58,Eating and drinking places,1995-04-01,19639,0,1995-04-01
591,Drug and proprietary stores,1995-04-01,6984,0,1995-04-01
553,Auto and home supply stores,1994-04-01,2773,0,1995-04-01
571,Furniture and home furnishings,1994-04-01,4705,0,1995-04-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-04-01,3414,0,1995-04-01
53,General merchandise group stores,1994-04-01,21186,0,1995-04-01
541,Grocery stores,1994-04-01,30594,0,1995-04-01
56,Apparel and accessory stores,1994-04-01,8611,0,1995-04-01
58,Eating and drinking places,1994-04-01,18953,0,1995-04-01
591,Drug and proprietary stores,1994-04-01,6596,0,1995-04-01
592,Liquor stores,1994-04-01,1735,0,1995-04-01
5961,Total mail order,1994-04-01,3513,0,1995-04-01
53,General merchandise group stores,1995-05-01,24545,1,1995-05-01
541,Grocery stores,1995-05-01,31960,1,1995-05-01
56,Apparel and accessory stores,1995-05-01,8996,1,1995-05-01
58,Eating and drinking places,1995-05-01,19773,1,1995-05-01
591,Drug and proprietary stores,1995-05-01,6900,1,1995-05-01
553,Auto and home supply stores,1994-05-01,2683,1,1995-05-01
571,Furniture and home furnishings,1994-05-01,4919,1,1995-05-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-05-01,3884,1,1995-05-01
53,General merchandise group stores,1994-05-01,23041,1,1995-05-01
541,Grocery stores,1994-05-01,31250,1,1995-05-01
56,Apparel and accessory stores,1994-05-01,8946,1,1995-05-01
58,Eating and drinking places,1994-05-01,18897,1,1995-05-01
591,Drug and proprietary stores,1994-05-01,6766,1,1995-05-01
592,Liquor stores,1994-05-01,1825,1,1995-05-01
5961,Total mail order,1994-05-01,3832,1,1995-05-01
53,General merchandise group stores,1995-05-01,23770,0,1995-05-01
541,Grocery stores,1995-05-01,32567,0,1995-05-01
56,Apparel and accessory stores,1995-05-01,8726,0,1995-05-01
58,Eating and drinking places,1995-05-01,20425,0,1995-05-01
591,Drug and proprietary stores,1995-05-01,6997,0,1995-05-01
553,Auto and home supply stores,1994-05-01,2772,0,1995-05-01
571,Furniture and home furnishings,1994-05-01,4875,0,1995-05-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-05-01,3519,0,1995-05-01
53,General merchandise group stores,1994-05-01,22200,0,1995-05-01
541,Grocery stores,1994-05-01,31531,0,1995-05-01
56,Apparel and accessory stores,1994-05-01,8559,0,1995-05-01
58,Eating and drinking places,1994-05-01,19634,0,1995-05-01
591,Drug and proprietary stores,1994-05-01,6759,0,1995-05-01
592,Liquor stores,1994-05-01,1805,0,1995-05-01
5961,Total mail order,1994-05-01,3372,0,1995-05-01
53,General merchandise group stores,1995-06-01,24901,1,1995-06-01
541,Grocery stores,1995-06-01,32010,1,1995-06-01
56,Apparel and accessory stores,1995-06-01,9194,1,1995-06-01
58,Eating and drinking places,1995-06-01,20002,1,1995-06-01
591,Drug and proprietary stores,1995-06-01,7099,1,1995-06-01
553,Auto and home supply stores,1994-06-01,2706,1,1995-06-01
571,Furniture and home furnishings,1994-06-01,4991,1,1995-06-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-06-01,4002,1,1995-06-01
53,General merchandise group stores,1994-06-01,23521,1,1995-06-01
541,Grocery stores,1994-06-01,31283,1,1995-06-01
56,Apparel and accessory stores,1994-06-01,9097,1,1995-06-01
58,Eating and drinking places,1994-06-01,19060,1,1995-06-01
591,Drug and proprietary stores,1994-06-01,6752,1,1995-06-01
592,Liquor stores,1994-06-01,1831,1,1995-06-01
5961,Total mail order,1994-06-01,3772,1,1995-06-01
53,General merchandise group stores,1995-06-01,23761,0,1995-06-01
541,Grocery stores,1995-06-01,32714,0,1995-06-01
56,Apparel and accessory stores,1995-06-01,8725,0,1995-06-01
58,Eating and drinking places,1995-06-01,20882,0,1995-06-01
591,Drug and proprietary stores,1995-06-01,7021,0,1995-06-01
553,Auto and home supply stores,1994-06-01,2950,0,1995-06-01
571,Furniture and home furnishings,1994-06-01,4966,0,1995-06-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-06-01,3814,0,1995-06-01
53,General merchandise group stores,1994-06-01,22373,0,1995-06-01
541,Grocery stores,1994-06-01,31877,0,1995-06-01
56,Apparel and accessory stores,1994-06-01,8552,0,1995-06-01
58,Eating and drinking places,1994-06-01,19727,0,1995-06-01
591,Drug and proprietary stores,1994-06-01,6637,0,1995-06-01
592,Liquor stores,1994-06-01,1829,0,1995-06-01
5961,Total mail order,1994-06-01,3221,0,1995-06-01
53,General merchandise group stores,1995-07-01,25085,1,1995-07-01
541,Grocery stores,1995-07-01,32208,1,1995-07-01
56,Apparel and accessory stores,1995-07-01,9371,1,1995-07-01
58,Eating and drinking places,1995-07-01,20317,1,1995-07-01
591,Drug and proprietary stores,1995-07-01,6985,1,1995-07-01
553,Auto and home supply stores,1994-07-01,2715,1,1995-07-01
571,Furniture and home furnishings,1994-07-01,5034,1,1995-07-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-07-01,3842,1,1995-07-01
53,General merchandise group stores,1994-07-01,23541,1,1995-07-01
541,Grocery stores,1994-07-01,31213,1,1995-07-01
56,Apparel and accessory stores,1994-07-01,9097,1,1995-07-01
58,Eating and drinking places,1994-07-01,19325,1,1995-07-01
591,Drug and proprietary stores,1994-07-01,6839,1,1995-07-01
592,Liquor stores,1994-07-01,1828,1,1995-07-01
5961,Total mail order,1994-07-01,3728,1,1995-07-01
53,General merchandise group stores,1995-07-01,22896,0,1995-07-01
541,Grocery stores,1995-07-01,33303,0,1995-07-01
56,Apparel and accessory stores,1995-07-01,8603,0,1995-07-01
58,Eating and drinking places,1995-07-01,21333,0,1995-07-01
591,Drug and proprietary stores,1995-07-01,6685,0,1995-07-01
553,Auto and home supply stores,1994-07-01,2867,0,1995-07-01
571,Furniture and home furnishings,1994-07-01,4999,0,1995-07-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-07-01,3746,0,1995-07-01
53,General merchandise group stores,1994-07-01,21542,0,1995-07-01
541,Grocery stores,1994-07-01,32555,0,1995-07-01
56,Apparel and accessory stores,1994-07-01,8399,0,1995-07-01
58,Eating and drinking places,1994-07-01,20504,0,1995-07-01
591,Drug and proprietary stores,1994-07-01,6538,0,1995-07-01
592,Liquor stores,1994-07-01,1952,0,1995-07-01
5961,Total mail order,1994-07-01,3012,0,1995-07-01
53,General merchandise group stores,1995-08-01,25007,1,1995-08-01
541,Grocery stores,1995-08-01,32296,1,1995-08-01
56,Apparel and accessory stores,1995-08-01,8929,1,1995-08-01
58,Eating and drinking places,1995-08-01,20021,1,1995-08-01
591,Drug and proprietary stores,1995-08-01,7049,1,1995-08-01
553,Auto and home supply stores,1994-08-01,2722,1,1995-08-01
571,Furniture and home furnishings,1994-08-01,5138,1,1995-08-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-08-01,4106,1,1995-08-01
53,General merchandise group stores,1994-08-01,23715,1,1995-08-01
541,Grocery stores,1994-08-01,31469,1,1995-08-01
56,Apparel and accessory stores,1994-08-01,9115,1,1995-08-01
58,Eating and drinking places,1994-08-01,19142,1,1995-08-01
591,Drug and proprietary stores,1994-08-01,6877,1,1995-08-01
592,Liquor stores,1994-08-01,1810,1,1995-08-01
5961,Total mail order,1994-08-01,3816,1,1995-08-01
53,General merchandise group stores,1995-08-01,24729,0,1995-08-01
541,Grocery stores,1995-08-01,33233,0,1995-08-01
56,Apparel and accessory stores,1995-08-01,9518,0,1995-08-01
58,Eating and drinking places,1995-08-01,21422,0,1995-08-01
591,Drug and proprietary stores,1995-08-01,6950,0,1995-08-01
553,Auto and home supply stores,1994-08-01,2972,0,1995-08-01
571,Furniture and home furnishings,1994-08-01,5313,0,1995-08-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-08-01,3987,0,1995-08-01
53,General merchandise group stores,1994-08-01,23224,0,1995-08-01
541,Grocery stores,1994-08-01,31973,0,1995-08-01
56,Apparel and accessory stores,1994-08-01,9652,0,1995-08-01
58,Eating and drinking places,1994-08-01,20310,0,1995-08-01
591,Drug and proprietary stores,1994-08-01,6788,0,1995-08-01
592,Liquor stores,1994-08-01,1830,0,1995-08-01
5961,Total mail order,1994-08-01,3469,0,1995-08-01
53,General merchandise group stores,1995-09-01,25062,1,1995-09-01
541,Grocery stores,1995-09-01,32304,1,1995-09-01
56,Apparel and accessory stores,1995-09-01,9101,1,1995-09-01
58,Eating and drinking places,1995-09-01,20034,1,1995-09-01
591,Drug and proprietary stores,1995-09-01,7129,1,1995-09-01
553,Auto and home supply stores,1994-09-01,2771,1,1995-09-01
571,Furniture and home furnishings,1994-09-01,5198,1,1995-09-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-09-01,4197,1,1995-09-01
53,General merchandise group stores,1994-09-01,23848,1,1995-09-01
541,Grocery stores,1994-09-01,31635,1,1995-09-01
56,Apparel and accessory stores,1994-09-01,9058,1,1995-09-01
58,Eating and drinking places,1994-09-01,19278,1,1995-09-01
591,Drug and proprietary stores,1994-09-01,6855,1,1995-09-01
592,Liquor stores,1994-09-01,1837,1,1995-09-01
5961,Total mail order,1994-09-01,3852,1,1995-09-01
53,General merchandise group stores,1995-09-01,22920,0,1995-09-01
541,Grocery stores,1995-09-01,31981,0,1995-09-01
56,Apparel and accessory stores,1995-09-01,8992,0,1995-09-01
58,Eating and drinking places,1995-09-01,20034,0,1995-09-01
591,Drug and proprietary stores,1995-09-01,6744,0,1995-09-01
553,Auto and home supply stores,1994-09-01,2840,0,1995-09-01
571,Furniture and home furnishings,1994-09-01,5120,0,1995-09-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-09-01,3933,0,1995-09-01
53,General merchandise group stores,1994-09-01,21793,0,1995-09-01
541,Grocery stores,1994-09-01,31255,0,1995-09-01
56,Apparel and accessory stores,1994-09-01,8819,0,1995-09-01
58,Eating and drinking places,1994-09-01,19201,0,1995-09-01
591,Drug and proprietary stores,1994-09-01,6526,0,1995-09-01
592,Liquor stores,1994-09-01,1797,0,1995-09-01
5961,Total mail order,1994-09-01,3713,0,1995-09-01
53,General merchandise group stores,1995-10-01,24782,1,1995-10-01
541,Grocery stores,1995-10-01,32520,1,1995-10-01
56,Apparel and accessory stores,1995-10-01,9020,1,1995-10-01
58,Eating and drinking places,1995-10-01,20323,1,1995-10-01
591,Drug and proprietary stores,1995-10-01,7271,1,1995-10-01
553,Auto and home supply stores,1994-10-01,2749,1,1995-10-01
571,Furniture and home furnishings,1994-10-01,5207,1,1995-10-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-10-01,4351,1,1995-10-01
53,General merchandise group stores,1994-10-01,23969,1,1995-10-01
541,Grocery stores,1994-10-01,31539,1,1995-10-01
56,Apparel and accessory stores,1994-10-01,9283,1,1995-10-01
58,Eating and drinking places,1994-10-01,19397,1,1995-10-01
591,Drug and proprietary stores,1994-10-01,6892,1,1995-10-01
592,Liquor stores,1994-10-01,1823,1,1995-10-01
5961,Total mail order,1994-10-01,3870,1,1995-10-01
53,General merchandise group stores,1995-10-01,24120,0,1995-10-01
541,Grocery stores,1995-10-01,31740,0,1995-10-01
56,Apparel and accessory stores,1995-10-01,8876,0,1995-10-01
58,Eating and drinking places,1995-10-01,20526,0,1995-10-01
591,Drug and proprietary stores,1995-10-01,7118,0,1995-10-01
553,Auto and home supply stores,1994-10-01,2831,0,1995-10-01
571,Furniture and home furnishings,1994-10-01,5249,0,1995-10-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-10-01,4142,0,1995-10-01
53,General merchandise group stores,1994-10-01,23770,0,1995-10-01
541,Grocery stores,1994-10-01,31255,0,1995-10-01
56,Apparel and accessory stores,1994-10-01,9268,0,1995-10-01
58,Eating and drinking places,1994-10-01,19707,0,1995-10-01
591,Drug and proprietary stores,1994-10-01,6727,0,1995-10-01
592,Liquor stores,1994-10-01,1781,0,1995-10-01
5961,Total mail order,1994-10-01,4226,0,1995-10-01
53,General merchandise group stores,1995-11-01,24638,1,1995-11-01
541,Grocery stores,1995-11-01,32453,1,1995-11-01
56,Apparel and accessory stores,1995-11-01,9266,1,1995-11-01
58,Eating and drinking places,1995-11-01,20152,1,1995-11-01
591,Drug and proprietary stores,1995-11-01,7220,1,1995-11-01
553,Auto and home supply stores,1994-11-01,2814,1,1995-11-01
571,Furniture and home furnishings,1994-11-01,5223,1,1995-11-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-11-01,4436,1,1995-11-01
53,General merchandise group stores,1994-11-01,23974,1,1995-11-01
541,Grocery stores,1994-11-01,31757,1,1995-11-01
56,Apparel and accessory stores,1994-11-01,9300,1,1995-11-01
58,Eating and drinking places,1994-11-01,19452,1,1995-11-01
591,Drug and proprietary stores,1994-11-01,6938,1,1995-11-01
592,Liquor stores,1994-11-01,1823,1,1995-11-01
5961,Total mail order,1994-11-01,3908,1,1995-11-01
53,General merchandise group stores,1995-11-01,29506,0,1995-11-01
541,Grocery stores,1995-11-01,32291,0,1995-11-01
56,Apparel and accessory stores,1995-11-01,10582,0,1995-11-01
58,Eating and drinking places,1995-11-01,19406,0,1995-11-01
591,Drug and proprietary stores,1995-11-01,7047,0,1995-11-01
553,Auto and home supply stores,1994-11-01,2808,0,1995-11-01
571,Furniture and home furnishings,1994-11-01,5730,0,1995-11-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-11-01,4889,0,1995-11-01
53,General merchandise group stores,1994-11-01,28413,0,1995-11-01
541,Grocery stores,1994-11-01,31281,0,1995-11-01
56,Apparel and accessory stores,1994-11-01,10453,0,1995-11-01
58,Eating and drinking places,1994-11-01,18654,0,1995-11-01
591,Drug and proprietary stores,1994-11-01,6744,0,1995-11-01
592,Liquor stores,1994-11-01,1823,0,1995-11-01
5961,Total mail order,1994-11-01,5241,0,1995-11-01
53,General merchandise group stores,1995-12-01,24667,1,1995-12-01
541,Grocery stores,1995-12-01,32474,1,1995-12-01
56,Apparel and accessory stores,1995-12-01,9164,1,1995-12-01
58,Eating and drinking places,1995-12-01,20128,1,1995-12-01
591,Drug and proprietary stores,1995-12-01,7121,1,1995-12-01
553,Auto and home supply stores,1994-12-01,2779,1,1995-12-01
571,Furniture and home furnishings,1994-12-01,5225,1,1995-12-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-12-01,4470,1,1995-12-01
53,General merchandise group stores,1994-12-01,23978,1,1995-12-01
541,Grocery stores,1994-12-01,31649,1,1995-12-01
56,Apparel and accessory stores,1994-12-01,9164,1,1995-12-01
58,Eating and drinking places,1994-12-01,19655,1,1995-12-01
591,Drug and proprietary stores,1994-12-01,6852,1,1995-12-01
592,Liquor stores,1994-12-01,1819,1,1995-12-01
5961,Total mail order,1994-12-01,4155,1,1995-12-01
53,General merchandise group stores,1995-12-01,42575,0,1995-12-01
541,Grocery stores,1995-12-01,35072,0,1995-12-01
56,Apparel and accessory stores,1995-12-01,15120,0,1995-12-01
58,Eating and drinking places,1995-12-01,20490,0,1995-12-01
591,Drug and proprietary stores,1995-12-01,8816,0,1995-12-01
553,Auto and home supply stores,1994-12-01,2671,0,1995-12-01
571,Furniture and home furnishings,1994-12-01,6338,0,1995-12-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1994-12-01,7090,0,1995-12-01
53,General merchandise group stores,1994-12-01,42072,0,1995-12-01
541,Grocery stores,1994-12-01,34624,0,1995-12-01
56,Apparel and accessory stores,1994-12-01,15559,0,1995-12-01
58,Eating and drinking places,1994-12-01,20048,0,1995-12-01
591,Drug and proprietary stores,1994-12-01,8654,0,1995-12-01
592,Liquor stores,1994-12-01,2550,0,1995-12-01
5961,Total mail order,1994-12-01,6058,0,1995-12-01
53,General merchandise group stores,1996-01-01,24752,1,1996-01-01
541,Grocery stores,1996-01-01,32918,1,1996-01-01
56,Apparel and accessory stores,1996-01-01,9121,1,1996-01-01
58,Eating and drinking places,1996-01-01,20178,1,1996-01-01
591,Drug and proprietary stores,1996-01-01,7187,1,1996-01-01
553,Auto and home supply stores,1995-01-01,2850,1,1996-01-01
571,Furniture and home furnishings,1995-01-01,5195,1,1996-01-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-01-01,4491,1,1996-01-01
53,General merchandise group stores,1995-01-01,24504,1,1996-01-01
541,Grocery stores,1995-01-01,32355,1,1996-01-01
56,Apparel and accessory stores,1995-01-01,9140,1,1996-01-01
58,Eating and drinking places,1995-01-01,19658,1,1996-01-01
591,Drug and proprietary stores,1995-01-01,7006,1,1996-01-01
592,Liquor stores,1995-01-01,1818,1,1996-01-01
5961,Total mail order,1995-01-01,3958,1,1996-01-01
53,General merchandise group stores,1996-01-01,18629,0,1996-01-01
541,Grocery stores,1996-01-01,31766,0,1996-01-01
56,Apparel and accessory stores,1996-01-01,6494,0,1996-01-01
58,Eating and drinking places,1996-01-01,18221,0,1996-01-01
591,Drug and proprietary stores,1996-01-01,7058,0,1996-01-01
553,Auto and home supply stores,1995-01-01,2437,0,1996-01-01
571,Furniture and home furnishings,1995-01-01,4644,0,1996-01-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-01-01,4244,0,1996-01-01
53,General merchandise group stores,1995-01-01,18251,0,1996-01-01
541,Grocery stores,1995-01-01,30867,0,1996-01-01
56,Apparel and accessory stores,1995-01-01,6481,0,1996-01-01
58,Eating and drinking places,1995-01-01,17830,0,1996-01-01
591,Drug and proprietary stores,1995-01-01,6761,0,1996-01-01
592,Liquor stores,1995-01-01,1551,0,1996-01-01
5961,Total mail order,1995-01-01,3823,0,1996-01-01
53,General merchandise group stores,1996-02-01,25343,1,1996-02-01
541,Grocery stores,1996-02-01,32843,1,1996-02-01
56,Apparel and accessory stores,1996-02-01,9257,1,1996-02-01
58,Eating and drinking places,1996-02-01,19897,1,1996-02-01
591,Drug and proprietary stores,1996-02-01,7198,1,1996-02-01
553,Auto and home supply stores,1995-02-01,2771,1,1996-02-01
571,Furniture and home furnishings,1995-02-01,5126,1,1996-02-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-02-01,4484,1,1996-02-01
53,General merchandise group stores,1995-02-01,24114,1,1996-02-01
541,Grocery stores,1995-02-01,31913,1,1996-02-01
56,Apparel and accessory stores,1995-02-01,9069,1,1996-02-01
58,Eating and drinking places,1995-02-01,19616,1,1996-02-01
591,Drug and proprietary stores,1995-02-01,6982,1,1996-02-01
592,Liquor stores,1995-02-01,1797,1,1996-02-01
5961,Total mail order,1995-02-01,3848,1,1996-02-01
53,General merchandise group stores,1996-02-01,20303,0,1996-02-01
541,Grocery stores,1996-02-01,30938,0,1996-02-01
56,Apparel and accessory stores,1996-02-01,7063,0,1996-02-01
58,Eating and drinking places,1996-02-01,18405,0,1996-02-01
591,Drug and proprietary stores,1996-02-01,7011,0,1996-02-01
553,Auto and home supply stores,1995-02-01,2336,0,1996-02-01
571,Furniture and home furnishings,1995-02-01,4388,0,1996-02-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-02-01,3874,0,1996-02-01
53,General merchandise group stores,1995-02-01,18416,0,1996-02-01
541,Grocery stores,1995-02-01,28881,0,1996-02-01
56,Apparel and accessory stores,1995-02-01,6607,0,1996-02-01
58,Eating and drinking places,1995-02-01,17478,0,1996-02-01
591,Drug and proprietary stores,1995-02-01,6542,0,1996-02-01
592,Liquor stores,1995-02-01,1499,0,1996-02-01
5961,Total mail order,1995-02-01,3186,0,1996-02-01
53,General merchandise group stores,1996-03-01,25374,1,1996-03-01
541,Grocery stores,1996-03-01,33005,1,1996-03-01
56,Apparel and accessory stores,1996-03-01,9431,1,1996-03-01
58,Eating and drinking places,1996-03-01,19781,1,1996-03-01
591,Drug and proprietary stores,1996-03-01,7228,1,1996-03-01
553,Auto and home supply stores,1995-03-01,2886,1,1996-03-01
571,Furniture and home furnishings,1995-03-01,5234,1,1996-03-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-03-01,4406,1,1996-03-01
53,General merchandise group stores,1995-03-01,24426,1,1996-03-01
541,Grocery stores,1995-03-01,32105,1,1996-03-01
56,Apparel and accessory stores,1995-03-01,9256,1,1996-03-01
58,Eating and drinking places,1995-03-01,19363,1,1996-03-01
591,Drug and proprietary stores,1995-03-01,6929,1,1996-03-01
592,Liquor stores,1995-03-01,1868,1,1996-03-01
5961,Total mail order,1995-03-01,3654,1,1996-03-01
53,General merchandise group stores,1996-03-01,23420,0,1996-03-01
541,Grocery stores,1996-03-01,33203,0,1996-03-01
56,Apparel and accessory stores,1996-03-01,8941,0,1996-03-01
58,Eating and drinking places,1996-03-01,19999,0,1996-03-01
591,Drug and proprietary stores,1996-03-01,7242,0,1996-03-01
553,Auto and home supply stores,1995-03-01,2892,0,1996-03-01
571,Furniture and home furnishings,1995-03-01,5093,0,1996-03-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-03-01,4221,0,1996-03-01
53,General merchandise group stores,1995-03-01,22341,0,1996-03-01
541,Grocery stores,1995-03-01,32330,0,1996-03-01
56,Apparel and accessory stores,1995-03-01,8547,0,1996-03-01
58,Eating and drinking places,1995-03-01,19421,0,1996-03-01
591,Drug and proprietary stores,1995-03-01,7033,0,1996-03-01
592,Liquor stores,1995-03-01,1758,0,1996-03-01
5961,Total mail order,1995-03-01,3676,0,1996-03-01
53,General merchandise group stores,1996-05-01,25982,1,1996-05-01
541,Grocery stores,1996-05-01,33213,1,1996-05-01
56,Apparel and accessory stores,1996-05-01,9485,1,1996-05-01
58,Eating and drinking places,1996-05-01,19451,1,1996-05-01
591,Drug and proprietary stores,1996-05-01,7411,1,1996-05-01
553,Auto and home supply stores,1995-05-01,2859,1,1996-05-01
571,Furniture and home furnishings,1995-05-01,5284,1,1996-05-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-05-01,4480,1,1996-05-01
53,General merchandise group stores,1995-05-01,24760,1,1996-05-01
541,Grocery stores,1995-05-01,32409,1,1996-05-01
56,Apparel and accessory stores,1995-05-01,9174,1,1996-05-01
58,Eating and drinking places,1995-05-01,19600,1,1996-05-01
591,Drug and proprietary stores,1995-05-01,7028,1,1996-05-01
592,Liquor stores,1995-05-01,1844,1,1996-05-01
5961,Total mail order,1995-05-01,3799,1,1996-05-01
53,General merchandise group stores,1996-05-01,25638,0,1996-05-01
541,Grocery stores,1996-05-01,34575,0,1996-05-01
56,Apparel and accessory stores,1996-05-01,9324,0,1996-05-01
58,Eating and drinking places,1996-05-01,20404,0,1996-05-01
591,Drug and proprietary stores,1996-05-01,7574,0,1996-05-01
553,Auto and home supply stores,1995-05-01,3013,0,1996-05-01
571,Furniture and home furnishings,1995-05-01,5273,0,1996-05-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-05-01,4122,0,1996-05-01
53,General merchandise group stores,1995-05-01,23911,0,1996-05-01
541,Grocery stores,1995-05-01,33122,0,1996-05-01
56,Apparel and accessory stores,1995-05-01,8890,0,1996-05-01
58,Eating and drinking places,1995-05-01,20306,0,1996-05-01
591,Drug and proprietary stores,1995-05-01,7155,0,1996-05-01
592,Liquor stores,1995-05-01,1846,0,1996-05-01
5961,Total mail order,1995-05-01,3442,0,1996-05-01
53,General merchandise group stores,1996-06-01,25845,1,1996-06-01
541,Grocery stores,1996-06-01,33054,1,1996-06-01
56,Apparel and accessory stores,1996-06-01,9459,1,1996-06-01
58,Eating and drinking places,1996-06-01,19921,1,1996-06-01
591,Drug and proprietary stores,1996-06-01,7335,1,1996-06-01
553,Auto and home supply stores,1995-06-01,2858,1,1996-06-01
571,Furniture and home furnishings,1995-06-01,5339,1,1996-06-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-06-01,4483,1,1996-06-01
53,General merchandise group stores,1995-06-01,24983,1,1996-06-01
541,Grocery stores,1995-06-01,32329,1,1996-06-01
56,Apparel and accessory stores,1995-06-01,9205,1,1996-06-01
58,Eating and drinking places,1995-06-01,19434,1,1996-06-01
591,Drug and proprietary stores,1995-06-01,7015,1,1996-06-01
592,Liquor stores,1995-06-01,1868,1,1996-06-01
5961,Total mail order,1995-06-01,3851,1,1996-06-01
53,General merchandise group stores,1996-06-01,24744,0,1996-06-01
541,Grocery stores,1996-06-01,33385,0,1996-06-01
56,Apparel and accessory stores,1996-06-01,8873,0,1996-06-01
58,Eating and drinking places,1996-06-01,20778,0,1996-06-01
591,Drug and proprietary stores,1996-06-01,7042,0,1996-06-01
553,Auto and home supply stores,1995-06-01,3092,0,1996-06-01
571,Furniture and home furnishings,1995-06-01,5291,0,1996-06-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-06-01,4250,0,1996-06-01
53,General merchandise group stores,1995-06-01,23934,0,1996-06-01
541,Grocery stores,1995-06-01,32976,0,1996-06-01
56,Apparel and accessory stores,1995-06-01,8761,0,1996-06-01
58,Eating and drinking places,1995-06-01,20328,0,1996-06-01
591,Drug and proprietary stores,1995-06-01,6910,0,1996-06-01
592,Liquor stores,1995-06-01,1904,0,1996-06-01
5961,Total mail order,1995-06-01,3227,0,1996-06-01
53,General merchandise group stores,1996-07-01,25693,1,1996-07-01
541,Grocery stores,1996-07-01,33476,1,1996-07-01
56,Apparel and accessory stores,1996-07-01,9378,1,1996-07-01
58,Eating and drinking places,1996-07-01,19763,1,1996-07-01
591,Drug and proprietary stores,1996-07-01,7428,1,1996-07-01
553,Auto and home supply stores,1995-07-01,2872,1,1996-07-01
571,Furniture and home furnishings,1995-07-01,5382,1,1996-07-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-07-01,4412,1,1996-07-01
53,General merchandise group stores,1995-07-01,25038,1,1996-07-01
541,Grocery stores,1995-07-01,32399,1,1996-07-01
56,Apparel and accessory stores,1995-07-01,9117,1,1996-07-01
58,Eating and drinking places,1995-07-01,19589,1,1996-07-01
591,Drug and proprietary stores,1995-07-01,6956,1,1996-07-01
