sic,description,as_of_date,value,is_sa,release_as_of_date
591,Drug and proprietary stores,1993-03-01,6734,0,1994-03-01
592,Liquor stores,1993-03-01,1676,0,1994-03-01
5961,Total mail order,1993-03-01,2498,0,1994-03-01
53,General merchandise group stores,1994-04-01,23266,1,1994-04-01
541,Grocery stores,1994-04-01,31640,1,1994-04-01
56,Apparel and accessory stores,1994-04-01,8784,1,1994-04-01
58,Eating and drinking places,1994-04-01,18551,1,1994-04-01
591,Drug and proprietary stores,1994-04-01,6809,1,1994-04-01
553,Auto and home supply stores,1993-04-01,3122,1,1994-04-01
571,Furniture and home furnishings,1993-04-01,4640,1,1994-04-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-04-01,3519,1,1994-04-01
53,General merchandise group stores,1993-04-01,21858,1,1994-04-01
541,Grocery stores,1993-04-01,30733,1,1994-04-01
56,Apparel and accessory stores,1993-04-01,8735,1,1994-04-01
58,Eating and drinking places,1993-04-01,17408,1,1994-04-01
591,Drug and proprietary stores,1993-04-01,6695,1,1994-04-01
592,Liquor stores,1993-04-01,1800,1,1994-04-01
5961,Total mail order,1993-04-01,2398,1,1994-04-01
53,General merchandise group stores,1994-04-01,21228,0,1994-04-01
541,Grocery stores,1994-04-01,31355,0,1994-04-01
56,Apparel and accessory stores,1994-04-01,8450,0,1994-04-01
58,Eating and drinking places,1994-04-01,18625,0,1994-04-01
591,Drug and proprietary stores,1994-04-01,6755,0,1994-04-01
553,Auto and home supply stores,1993-04-01,3194,0,1994-04-01
571,Furniture and home furnishings,1993-04-01,4533,0,1994-04-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-04-01,3216,0,1994-04-01
53,General merchandise group stores,1993-04-01,20272,0,1994-04-01
541,Grocery stores,1993-04-01,30487,0,1994-04-01
56,Apparel and accessory stores,1993-04-01,8740,0,1994-04-01
58,Eating and drinking places,1993-04-01,17460,0,1994-04-01
591,Drug and proprietary stores,1993-04-01,6749,0,1994-04-01
592,Liquor stores,1993-04-01,1706,0,1994-04-01
5961,Total mail order,1993-04-01,2185,0,1994-04-01
53,General merchandise group stores,1994-05-01,23371,1,1994-05-01
541,Grocery stores,1994-05-01,31770,1,1994-05-01
56,Apparel and accessory stores,1994-05-01,8767,1,1994-05-01
58,Eating and drinking places,1994-05-01,18321,1,1994-05-01
591,Drug and proprietary stores,1994-05-01,6836,1,1994-05-01
553,Auto and home supply stores,1993-05-01,3094,1,1994-05-01
571,Furniture and home furnishings,1993-05-01,4717,1,1994-05-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-05-01,3528,1,1994-05-01
53,General merchandise group stores,1993-05-01,22009,1,1994-05-01
541,Grocery stores,1993-05-01,30668,1,1994-05-01
56,Apparel and accessory stores,1993-05-01,8808,1,1994-05-01
58,Eating and drinking places,1993-05-01,17510,1,1994-05-01
591,Drug and proprietary stores,1993-05-01,6683,1,1994-05-01
592,Liquor stores,1993-05-01,1785,1,1994-05-01
5961,Total mail order,1993-05-01,2326,1,1994-05-01
53,General merchandise group stores,1994-05-01,22571,0,1994-05-01
541,Grocery stores,1994-05-01,32151,0,1994-05-01
56,Apparel and accessory stores,1994-05-01,8504,0,1994-05-01
58,Eating and drinking places,1994-05-01,18999,0,1994-05-01
